Out_train1,Out_train2,Out_train3,Out_train4,Out_train5,Out_train6,Out_train7,Out_train8
0.0058572947609624,0.0239364280783222,0.139448558507864,0.00150575207611703,174.640593896469,-0.0264297841526025,0.146802839322434,0.0337570848501996
0.00603303169393814,0.0795481265770126,0.975018331423811,-2.07511284457109,1328.83967678367,-0.152416405063189,0.0925593920809553,-0.32358459103605
0.0057312795542131,-0.0124758921643071,0.711909332361212,-1.37001442978329,734.531727913759,-0.0575656672442666,-0.0068209758887518,-0.298151259727569
0.00589289969794812,0.0490864002421153,0.923998656389958,-1.83828685946103,1075.10606956567,-0.0780402315424982,0.0595429022122428,-0.202228447515812
0.00642540454119362,0.0482015555054328,0.912829517758565,-1.28626724009026,748.537910699927,0.114766328917098,-0.0257305177034448,0.0385485991959937
0.00569822883033017,-0.0296763351116385,0.391532371627955,-0.96147318593341,315.908799604208,-0.0190993277053807,-0.0597937353084229,-0.142436411859131
0.00630527903343402,0.0490491532423777,0.887415592125821,-1.31201035381914,646.825451150922,0.0729309542112689,-0.0452380028754452,0.0903851089042359
0.00568786168107489,0.016886241100216,0.201498373284033,-0.333028932273312,209.009004853661,0.0987578516238746,0.296698150041667,0.00499478545878997
0.00616467003437142,-0.0476921524680417,0.565941964378711,-0.801311150927492,119.714585803562,-0.10672696696423,-0.0126484649859007,0.238396294313749
0.00613312620956151,0.131760305332848,0.965024841162376,-1.71643234706459,1229.88595756692,0.0468597242612541,0.125949458778417,-0.194232701475719
0.00840897791896677,-0.0615912816978299,0.177629350109364,-0.463273629051191,192.103273700656,0.00411263588410027,0.140494131428895,-0.041778797329917
0.0120138816789918,0.0403785115569573,0.859246703468389,-1.41706285141727,745.848374627643,0.0269783150324399,0.0224686605791937,0.0529331578187656
0.00857558837621081,-0.0714959324394807,0.0682210631078013,-0.284582611526823,99.0269064159983,0.0735023720118839,-0.0997652663113955,0.174703083821158
0.00964156869076137,-0.0803543023484558,0.748084418289761,-0.549868006960563,143.2850089574,0.0146963858401493,0.0194365046177234,0.199947363768764
0.0132485710863452,0.241814063340232,0.920815290073951,-1.47578655451899,1334.68095292157,0.183094407103939,0.146254607687255,-0.269077274905873
0.00866292625768148,0.00405099426826637,0.399507134673472,-0.977308783361387,361.807914071451,-0.0666065902256882,-0.0535044232364156,-0.224710466342756
0.010446976044162,-0.059738508830667,0.509225289032392,-0.701438165282022,80.673401718571,0.0393856855121442,0.0182840111822979,0.200622916237483
0.00836863535048432,-0.0657011966107458,0.483976398291844,-0.92119651344599,432.959289480263,-0.028981936677659,-0.0365297567469459,-0.17659772083133
0.0082648087699198,0.0267139742658248,0.40300992604937,-1.09032458068448,355.55320820852,-0.0634625593311707,-0.0505672868280066,-0.172125736830431
0.00839330226018123,-0.0192206293108203,0.458346995104677,-0.978165329179607,399.94163965212,-0.0529214714853972,-0.0263826397668957,-0.123576238829366
0.0097570261431101,-0.100597326001368,0.604193771482137,-0.282990240923793,-10.8012566815958,0.0109809338273266,-0.0307774465950054,0.165038973738496
0.0122477215915009,0.0326973708265386,0.878277179460471,-1.25776084083716,788.299964378711,-0.0251794955372303,0.00651579193730967,0.0602817353667352
0.00816193708988647,-0.0459817098321148,0.359873179877096,-0.84270023738547,305.945620560358,-0.0276748541699111,-0.0843740858226846,-0.129162062016985
0.0116709439641704,0.0965969563056097,0.894996844078742,-1.38991891081328,746.015744016248,0.112128942012607,0.0438274225498478,0.0974069823402294
0.0113118970940527,0.039082571307793,0.819431205082804,-1.3345772369278,459.386181793563,0.13751849457404,0.00356968103624447,0.15302525059184
0.0103425466097282,0.0420148193839126,0.821129549005311,-1.4727692320033,605.914431159254,0.0930459104036324,0.0150534715313323,0.0783658430296413
0.00811862462243516,-0.0215498305713618,0.269253744401624,-0.939418686926008,231.139375637954,-0.0409338759636813,-0.0935995566257752,-0.107867071976473
0.00924272638266847,-0.0398758208995403,0.176256159775023,-0.850220957552401,163.840858060619,0.021958107982917,-0.0589378307648022,0.0327036673574948
