B1N6Cdmean,B1N6Cdsd,B1N6Clmean,TipALxb1skew,RootMxb1mean,B1N6Clsd,TipALxb1sd,GenPwrmean,Alpha,WindSpeed
0.00511782686931953,0.000395234504885504,0.410317841167422,-1.07807716284579,367.180350105018,0.0604187117805532,1.39905152793009,5000.04884907822,0,14.902
0.0109847396429808,0.000353928096020942,0.115860362078686,0.746319620195109,156.955529602392,0.165713710281489,2.5905522430029,5000.04884907822,0,24.978
0.00626932070580533,0.000353928096020942,0.583036945690025,-1.40745306553165,621.875336243729,0.0699545055586773,1.34243817095451,5000.04884907822,0,13.934
0.00622387508079651,0.000353928096020942,0.576443219581775,-0.727792045569932,84.440057061177,0.0338592759101997,0.171345839702082,177.571682862862,0,3.99
0.00792347282633195,0.000910253409347704,0.146180245474532,-0.520430735313969,162.050795996313,0.081500940877849,2.86960496160629,5000.04884907822,0,19.39
0.00953705564653445,0.00135267709471475,0.092642091950656,-1.79466858443634,131.011759741907,0.0727537318872985,1.88951332984772,5000.04884907822,0,22.338
0.00617942886826237,0.000353928096020942,0.573666038951302,-1.37156340804961,650.537628560523,0.0430930612243419,1.48760742465852,5000.04884907822,0,13.89
0.00673172414342675,0.000353928096020942,0.259927234384655,-0.453401024753688,185.694573512998,0.060118191190738,1.86344760361635,5000.04884907822,0,16.838
0.0078355773700997,0.000516145278705575,0.15483923665248,-0.472089964863665,164.801472000717,0.0716478949416498,2.75876844363059,5000.04884907822,0,19.126
0.00706876978732849,0.000418814914025153,0.607033961720103,-0.258747276526657,-27.4192510109345,0.073574100814824,0.214905465681029,211.526316943361,0,4.386
0.00610113639043624,0.0015929178797342,0.899636096407051,-1.23296464753414,624.927788945716,0.0824807313751553,0.894011777890253,2042.28058418336,0,8.962
0.00778331748009364,0.000353928096020942,0.170269060604581,-0.474272766560344,170.899462078905,0.0651264560998788,2.66969353044166,5000.04884907822,0,18.862
0.0057223438594339,0.00108531381717274,0.286333895272649,-0.561257674043666,255.706700496058,0.128423316066028,3.09222634298606,4999.89503732495,0,17.278
0.00741952954077911,0.000353928096020942,0.568165965515281,-0.540244424122975,88.0999147329109,0.0437728737601017,0.140601697739805,302.041253304053,0,4.034
0.00896564155469242,0.000992892435745905,0.114115992797615,-1.15784001882566,146.710333408614,0.117573518880289,2.19333693359419,5000.04884907822,0,22.426
0.00643010146320733,0.00202348194989223,0.915890184149247,-1.25099287684396,736.924342806006,0.108062487424943,0.908402645819059,2118.9724833512,0,8.874
0.00697231767741878,0.000897502556348167,0.736132753081765,-0.795523861207155,209.294680738985,0.0590601264196591,0.464028608707647,670.588463456794,0,5.75
0.00979080449956763,0.000650109181454572,0.075662354442631,-1.0288718117105,113.956162986615,0.0701377027793229,2.92251152016206,5000.04884907822,0,23.922
0.0105497412543222,0.000353928096020942,0.0656404538730443,-0.204566193591872,130.062640224864,0.103777113638116,3.19069786164113,5000.04884907822,0,24.318
0.00530573866932849,0.000904736006062774,0.90078957284744,-2.03040901079615,1176.62894168464,0.0469058698751528,1.8321389250173,4797.49453925463,0,11.25
0.00697613585515626,0.00155506875395042,0.872956905001608,-0.791137629689624,353.317652492255,0.0960027891380392,0.592025443191338,1281.5796812471,0,7.422
0.00922262840303242,0.00111774833810669,0.166398659455221,-0.766267571761218,191.068892353281,0.152670587290989,2.72508684978663,5000.04884907822,0,21.942
0.00636254089713042,0.000723093367851575,0.667063274991294,-0.83286757776349,27.882039542165,0.0406141979866896,0.333440962213298,428.120607879317,0,5.046
