WindDirection,WindSpeed,AirDensity,WindShear,B1Er1,B1Er2,B1Er3,B1Er4,B1Er5,B1Er6,B2Er1,B2Er2,B2Er3,B2Er4,B2Er5,B2Er6,B3Er1,B3Er2,B3Er3,B3Er4,B3Er5,B3Er6,Alpha,Style,Timemean,RootFxb1mean,RootFyb1mean,RootFzc1mean,RootMxb1mean,RootMyb1mean,RootMzc1mean,TipDxc1mean,TipDyc1mean,TipDzc1mean,TipDxb1mean,TipDyb1mean,TipALxb1mean,TipALyb1mean,TipALzb1mean,TipRDxb1mean,TipRDyb1mean,HSShftVmean,B1Pitchmean,B1N1Clmean,B1N2Clmean,B1N3Clmean,B1N4Clmean,B1N5Clmean,B1N6Clmean,B1N1Cdmean,B1N2Cdmean,B1N3Cdmean,B1N4Cdmean,B1N5Cdmean,B1N6Cdmean,GenPwrmean,GenTqmean,Timesd,RootFxb1sd,RootFyb1sd,RootFzc1sd,RootMxb1sd,RootMyb1sd,RootMzc1sd,TipDxc1sd,TipDyc1sd,TipDzc1sd,TipDxb1sd,TipDyb1sd,TipALxb1sd,TipALyb1sd,TipALzb1sd,TipRDxb1sd,TipRDyb1sd,HSShftVsd,B1Pitchsd,B1N1Clsd,B1N2Clsd,B1N3Clsd,B1N4Clsd,B1N5Clsd,B1N6Clsd,B1N1Cdsd,B1N2Cdsd,B1N3Cdsd,B1N4Cdsd,B1N5Cdsd,B1N6Cdsd,GenPwrsd,GenTqsd
-12.75,9.446,1.12336,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,173.974669305281,-22.9767031548797,407.465941047807,753.146060910322,6283.30736381627,-2.90075845807728,3.52732850744714,-0.360279759177377,-0.177250505155713,3.52732850744714,-0.360279759177377,6.36974013123632,-0.303549775607749,-67.7189532340383,0.604611882928862,7.889719820852,963.112644516192,-9.06892808040832e-18,1.38752119570878,1.06969772940319,0.870367159670868,0.909919925007812,0.956427205499427,0.950778189771899,0.0153645017404437,0.00897646993354859,0.00600138078648058,0.00596811899010519,0.00647314291448807,0.00647530728049162,2258.76117071138,23.7240652015424,17.3232166618681,10.8589876349379,124.945535975231,120.386679946815,2628.87054373979,538.684162060797,29.7559208513611,0.419135019500418,0.371551533362234,0.0432809088013627,0.419135019500418,0.371551533362234,1.0215116713228,0.239921957861276,0.740786995645093,0.597410253043164,0.918599946267762,0.238249902879872,1.34490291916655e-15,0.170261836940647,0.0567784102807619,0.0206269818629736,0.0357596808837976,0.0496715269230476,0.0733665241079409,0.0312115893189231,0.0063366889661509,0.00266958211956865,0.00240755815919195,0.00219877443993452,0.00182092100559091,0.942037045958795,0.00569022538945693
-11.19,16.002,1.2744,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,181.686949276117,-12.7816589428185,616.540662430997,279.37282595563,5616.50525986876,-29.9733409069055,2.3546297260702,-0.654205029684407,-0.0821536964899489,2.43632673679825,-0.191232578533695,4.25678828705343,-0.319592438290386,-100.999636496199,0.297441235329653,4.94531257160712,1173.60545776482,11.0393250703054,1.40698687636705,0.864713633996458,0.54769664618269,0.497523810019789,0.418277544005833,0.359260441620664,0.0213794943907926,0.00890543385217165,0.00606654142276846,0.0060075542131028,0.00593584918237683,0.00521417039891678,4999.99041766483,43.0934392250808,17.3232166618681,30.0717508890963,121.195096619605,118.607489103321,2513.98879298288,908.943562030507,23.4663323766575,0.466829488932631,0.428638653066433,0.0337739496455102,0.525076562673906,0.354894614763872,1.64695284371983,0.345291974844738,1.33865727314147,0.567463229737085,1.11320750690725,0.562867843903317,0.00650341621426759,0.263056407596836,0.108888440896956,0.0390913958617162,0.0249914913792122,0.0376663527436508,0.0521456657032805,0.0470997378172947,0.00812221893826019,0.00200649592893453,0.0010261768686911,0.000934889772001673,0.000416163971493831,2.15356096638908,0.00820972992244213
-4.65,4.87,1.25776,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,77.7304405791062,-4.32402089282366,223.116276429539,144.001979356317,2791.96146234767,-11.9665058505676,1.6249171961254,-0.13280723330226,-0.0386953056973232,1.6249171961254,-0.13280723330226,0.79860542154984,-0.0688355754325591,-37.8403270492657,0.228991797458598,3.70376742006041,717.873398604311,4.21398476200399e-18,0.689313488178315,0.540894802624727,0.466106957608582,0.527057035725445,0.6056509113634,0.68655402562233,0.0119691918550151,0.00847911905009895,0.00601003551713363,0.00601339641703989,0.00618398010623894,0.00615537433600666,327.937808561609,4.62108957400272,17.3232166618681,2.84314773176137,121.853020960901,120.560698604903,2522.02043447273,120.605559634267,12.9320279840227,0.146755734971315,0.337065812007633,0.00736738880364974,0.146755734971315,0.337065812007633,0.284411379870703,0.0551106862616621,0.40707556795715,0.538857047636256,0.290019618885408,0.0929190976184079,1.15481713259322e-15,0.0367395559185432,0.0260095432619031,0.0242924545796283,0.0279710351435878,0.0364451434729386,0.0365012813800616,0.00419778242226132,0.00146987454343211,0.000776954556055823,0.000686439335389875,0.000699049899506488,0.000582700141102857,0.347757023074333,0.0045556623004335
6.57,14.418,1.41776,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,194.623591292574,-14.3979041037392,614.184814081867,335.204010634309,6209.38516821164,-31.5772714980731,2.78353442349755,-0.696214386001458,-0.114359318820956,2.8601193625664,-0.229211258035621,6.02643390271846,-0.24092163874336,-100.888079366732,0.365160722862202,5.95930028122071,1173.58181439433,9.46073336110819,1.30373184043329,0.805614696385792,0.532369846890949,0.507610998854286,0.450236142068535,0.407446703468388,0.0147997421112384,0.00875221178159567,0.00608543005936881,0.00601828288719926,0.00579098739714613,0.00572573409019894,4999.99166753463,43.0934850536399,17.3232166618681,35.0647149130662,124.08372668733,119.739757480326,2575.17337367377,1117.45946550497,25.5740955132714,0.559920665592553,0.42855328699951,0.0456291040320223,0.605742157674721,0.36088837677428,1.73545366982883,0.317066355593289,1.29533016156124,0.575566661383208,1.27859577520978,0.493286680640124,0.00451570643740903,0.240504029253405,0.165424546129402,0.118066158890134,0.0985153774896552,0.0913925024041805,0.0791292715791203,0.0319504866903359,0.00893795304470709,0.00320955897923305,0.00183716038827811,0.00118989994324957,0.000782777147946408,1.72721275357781,0.00630302593664832
-0.0299999999999994,23.042,1.2168,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,149.087365899385,-9.10652444057911,620.56504530778,99.9918850015624,3524.78818873034,-44.7415904593272,0.651356912863244,-0.28339787532132,-0.0135026183626706,0.709423577585669,-0.03607744609624,-2.8864850421831,-1.14542420422873,-101.03789917717,0.0166067922508072,0.735564228934485,1173.66149359442,20.602286220185,1.5829878137694,0.961883033017395,0.482141339443808,0.308657959587543,0.123847148919925,-0.00392668416935735,0.0420671022706801,0.00941562583266326,0.00612352202895532,0.00602186418081451,0.00587683637121133,0.00632928444953651,4999.96292052911,43.0934100614524,17.3232166618681,53.7746504779858,115.511428884557,117.209243018098,2394.07415211807,1518.66426794378,15.7396471384556,0.609209770718675,0.524955516123215,0.0109748376719561,0.727733300734163,0.342229525116962,2.38327873136053,0.657359324730446,1.76382702189501,0.543599097987461,1.49255737509422,1.10283036347844,0.00670911589843185,0.199302419279463,0.176421148264033,0.134004812842042,0.124548696784434,0.10850966755123,0.100105000582794,0.0486267080280246,0.0106760839795899,0.00305257656189118,0.00115928204384275,0.000925897724730076,0.000918467396795262,4.36282591557595,0.0150081734261692
12.81,11.646,1.32944,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,284.16644099573,-41.1727799843766,576.288449119884,1335.40294565087,10184.8675138006,4.10789615217165,5.64666336839912,-0.595397073221539,-0.446241579002187,5.64666336839912,-0.595397073221539,16.9804377668993,-0.699142694406833,-97.0473836058744,0.994380710342673,12.5664514113113,1160.70544734923,4.02738561608153e-19,1.44639394854703,1.1209202166441,0.919449244870326,0.944906113946465,0.970630007290908,0.955668888657431,0.0291399673861056,0.0100367313123633,0.0060976050499323,0.00603396434550567,0.00703405946276429,0.00654176894073534,4935.9841683158,43.0174221435265,17.3232166618681,12.0668217961173,123.332047307872,121.986642365144,2513.22795904888,609.378677551087,46.7597072483098,0.401739107922079,0.321727539919222,0.0633345128248137,0.401739107922079,0.321727539919222,1.86873979141765,0.301019824787654,0.716545770532982,0.511103471341619,0.949167398279461,0.60664764481698,1.51094809174952e-15,0.308976840967088,0.181274009572396,0.144753242061068,0.132100680043004,0.111940586075503,0.104846328916142,0.0539038732351151,0.0152699970209842,0.00733260650266252,0.00511690953166702,0.00373627350577732,0.00256833157183596,6.45558215797257,0.0473166395726335
-8.31,11.558,1.20336,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,265.238568899073,-39.4330177481512,572.09775023435,1268.02173453807,9487.64180814498,0.363920985105717,5.24128288719926,-0.557187771065515,-0.386497052390376,5.24128288719926,-0.557187771065515,15.2876596187897,-0.63886151817519,-96.1064378710551,0.929407043016352,11.648036454536,1153.1625872305,1.04290879054265e-17,1.47036423289241,1.1384543276742,0.926228174148529,0.957025695240078,0.989189553171544,0.969241318612644,0.015399721977294,0.00956235879283407,0.00600645887407562,0.00598230884293303,0.00650522674502657,0.00610768324028747,4548.73419435475,39.9024757837725,17.3232166618681,16.0446143869754,126.208820608061,121.218793033594,2670.11050837969,726.9407524845,45.2203719497939,0.519751887490397,0.384653269549385,0.0783568674044317,0.519751887490397,0.384653269549385,1.76976359019227,0.344185289455601,1.03933227639142,0.619160678938377,1.13644594419955,0.74702195787078,1.30385125795472e-15,0.131755078680409,0.041385864916213,0.0193615897378375,0.0315234204781809,0.0397028676312439,0.0573306891519375,0.0271303926204213,0.00601890113584343,0.00296124514801267,0.00271631341682995,0.002390177569218,0.00198937601106761,7.21999295932064,0.0543978884965971
-11.31,19.214,1.41712,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,162.708290803041,-10.1830472586189,619.669044891157,155.86031100927,4337.85574419331,-49.3307405478596,1.24131953963129,-0.449873930039163,-0.025007847932507,1.31717423185085,-0.0912064343922508,-0.52966978398396,-0.707250809978126,-101.107615873347,0.113303564922404,2.16249796788147,1173.66618060619,15.9602947609622,1.46437839808353,0.860012207061764,0.46309232371628,0.354693938131445,0.212969627122175,0.120687314302677,0.043681606553484,0.00922331254573481,0.0061593720445787,0.00602607228413707,0.00554739277158629,0.00587107936673263,4999.96521195709,43.0936412873661,17.3232166618681,33.8415841028276,117.096553856465,117.688887848137,2420.79469174748,928.667661962876,19.3145192688544,0.436073049909928,0.433044605353589,0.0158058509280911,0.512463745173435,0.339215643449488,3.162369784605,0.502904016245691,1.42991368210276,0.541037526794676,1.0869033642769,1.03808260965174,0.00677976328922817,0.331851563560389,0.163291956556262,0.0657679642317864,0.0360375218337304,0.0502357646540966,0.0631077165191896,0.0683990300346511,0.0110672124782308,0.00222619604878144,0.000753472540270132,0.00038990257274766,0.00139040905834707,3.94676002133488,0.0120021725190005
0.75,21.194,1.1624,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,151.977072179981,-9.29938240599938,620.044599520883,126.205578710551,3909.05801479013,-38.3401801895636,1.01136960859806,-0.40539687411103,-0.021287801145714,1.08740017329757,-0.0690387762123738,-1.33711197429434,-0.886894700552026,-101.08477241954,0.0776665440360379,1.67889165032497,1173.72429955213,18.2102530986352,1.57299750026039,0.961476054577648,0.512960795750443,0.366558681387356,0.194402806915946,0.0884942403551712,0.0369864583387147,0.00931725973451724,0.00611549765649411,0.00602772617435684,0.00576038641808145,0.00601232507030518,4999.97062805958,43.0934454744299,17.3232166618681,50.2253349706755,117.999049543644,117.60787454259,2447.45755433773,1440.23956552828,16.4026163563046,0.600132706323481,0.506996660521834,0.0184419141277305,0.703710594515461,0.349269431185029,2.55524681438142,0.549907072763659,1.67318167248487,0.555132362001832,1.44529117329982,0.806433823649444,0.00614143178809882,0.203327708069389,0.172519150043598,0.131230331456248,0.119960387845194,0.120892721011752,0.0960405380995745,0.045743633750281,0.0105698030929766,0.00325311753073426,0.00138899088801578,0.0010435233187175,0.000895139464253544,3.08439819077402,0.0107627042463393
2.61,14.858,1.12912,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,191.228601187376,-16.6995291011353,613.952265389022,425.090198272055,6181.95115092178,-16.9597816605874,2.84249484428705,-0.686616404541193,-0.117844852619519,2.91363045516092,-0.248913339735444,6.3186126445162,-0.255531108058848,-100.870216644099,0.399777984621394,6.12582595562962,1173.59337569003,8.69693979793769,1.45050421831059,0.948798760545778,0.65194263097594,0.618822955942089,0.562932996562858,0.510743151755026,0.016987874623685,0.00889846722151859,0.00606361508176232,0.00603612686178523,0.00608849505259869,0.0058679232371628,4999.991459223,43.0935892094569,17.3232166618681,29.3422167528325,123.935549039602,119.282844294746,2571.85535440212,925.819506127419,25.1182239876778,0.475673540229491,0.410487346177063,0.0401571745478735,0.516441813322069,0.357845331455952,1.57820844282452,0.273856717082205,1.23800376738541,0.570734932063763,1.08861700604539,0.491229186781958,0.00462059703943469,0.18842321437811,0.132315461309662,0.0992208717758126,0.0870470869106859,0.0841831774606032,0.0764606615169335,0.0292331318258998,0.00859357786847181,0.00342660510872636,0.00208212906108853,0.00127097652179727,0.00084463855104971,1.58847737814019,0.00612980969406002
