WindDirection,WindSpeed,AirDensity,WindShear,B1Er1,B1Er2,B1Er3,B1Er4,B1Er5,B1Er6,B2Er1,B2Er2,B2Er3,B2Er4,B2Er5,B2Er6,B3Er1,B3Er2,B3Er3,B3Er4,B3Er5,B3Er6,Alpha,Shape,Timemean,RootFxb1mean,RootFyb1mean,RootFzc1mean,RootMxb1mean,RootMyb1mean,RootMzc1mean,TipDxc1mean,TipDyc1mean,TipDzc1mean,TipDxb1mean,TipDyb1mean,TipALxb1mean,TipALyb1mean,TipALzb1mean,TipRDxb1mean,TipRDyb1mean,HSShftVmean,LSShftMxamean,TwrBsMytmean,TwrBsMxtmean,YawBrMypmean,NcIMUTAxsmean,NcIMUTAysmean,LSSTipMysmean,LSSTipMzsmean,LSShftTqmean,B1Pitchmean,B1N1Clmean,B1N2Clmean,B1N3Clmean,B1N4Clmean,B1N5Clmean,B1N6Clmean,B1N1Cdmean,B1N2Cdmean,B1N3Cdmean,B1N4Cdmean,B1N5Cdmean,B1N6Cdmean,RtSpeedmean,GenPwrmean,GenTqmean,BlPitchC1mean,Timesd,RootFxb1sd,RootFyb1sd,RootFzc1sd,RootMxb1sd,RootMyb1sd,RootMzc1sd,TipDxc1sd,TipDyc1sd,TipDzc1sd,TipDxb1sd,TipDyb1sd,TipALxb1sd,TipALyb1sd,TipALzb1sd,TipRDxb1sd,TipRDyb1sd,HSShftVsd,LSShftMxasd,TwrBsMytsd,TwrBsMxtsd,YawBrMypsd,NcIMUTAxssd,NcIMUTAyssd,LSSTipMyssd,LSSTipMzssd,LSShftTqsd,B1Pitchsd,B1N1Clsd,B1N2Clsd,B1N3Clsd,B1N4Clsd,B1N5Clsd,B1N6Clsd,B1N1Cdsd,B1N2Cdsd,B1N3Cdsd,B1N4Cdsd,B1N5Cdsd,B1N6Cdsd,RtSpeedsd,GenPwrsd,GenTqsd,BlPitchC1sd
0.0899999999999999,23.702,1.14576,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,146.937635662952,-8.70426294031872,620.565847307573,91.2275146620144,3463.91577960629,-41.424872409124,0.63131741397771,-0.279866859333403,-0.0130865597125299,0.689760339787523,-0.0334211526960213,-2.9306550348922,-1.18390914320383,-101.035174460994,0.0128681178210603,0.703923937527341,1173.68617852307,4179.86657639829,31011.3102801791,7489.93136131653,1775.67701281117,-0.000204942140610353,-0.000216320058743881,2072.45849390688,74.0859638121029,4179.86657639829,21.1342078950104,1.59610988438704,0.991441162378919,0.499406915946256,0.31664203312155,0.124588317174149,-0.0103293921862306,0.0495364088664722,0.00963007793257994,0.00613171596708676,0.00602872023747526,0.00587768534527653,0.00632863597541923,12.1001603999584,4999.96552442454,43.0933631913348,21.1342099781267,17.3232166618681,54.1458475492442,115.099811609561,117.165601132245,2385.10341526007,1513.04530131218,15.5723268842678,0.600361399824905,0.526541367509977,0.0105048082972555,0.72215633854079,0.340830968982395,2.37258825632904,0.651944727745835,1.76700414227896,0.5411767159469,1.48025700767833,1.14915983304159,33.554582530381,141.344185661628,555.731837663101,316.205719465312,0.0240862389957368,0.0259111010520215,319.413145424187,172.78285047645,33.554582530381,0.00601388187133023,0.196659383270492,0.183783342312986,0.13993031297637,0.129777748382135,0.113267931966936,0.105227857757365,0.0535778389247734,0.0113475656935251,0.00329244255309986,0.00124727206754372,0.00094514660758861,0.000961671393586778,0.00836630757901468,4.50485373172325,0.0155580316604527,0.00601761895824344
-12.45,23.438,1.3608,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,152.718487657536,-9.25953501301949,620.824986980523,92.6796192271639,3524.98427247162,-54.2859337569004,0.578490473989168,-0.247266053192376,-0.00672687865847307,0.628511915938756,-0.0276778984345381,-3.28594337372149,-1.17793444068326,-101.03837100302,-0.000262055434850535,0.503656098676699,1173.69753150713,4179.9689615665,31843.4485991043,3225.86178523071,351.593035642121,0.000108902027809603,-0.000280955274867202,540.609231259244,-891.663118425164,4179.9689615665,20.6217029476098,1.4979092802833,0.943895573377773,0.462818143943339,0.288032100822831,0.0833486671180086,-0.0144087077356525,0.0973735022614311,0.0103074670847828,0.00621788115821269,0.00604452890323925,0.00633710540568691,0.00646513238204354,12.0999885428602,4999.9488594938,43.093651702948,20.6217019060516,17.3232166618681,31.0512067808308,112.022769436874,117.366467126663,2306.95731782003,648.883220796921,20.229944845281,0.269355256154967,0.375934163452612,0.00354841076813206,0.338128489857727,0.315509053275763,3.10271744645962,0.575657637597329,1.31494454582405,0.501910705769287,0.7109113379974,1.37445563075289,52.2219150502477,463.15299812846,398.567962312813,491.661989315697,0.0292394437005653,0.032669358084309,494.284746385761,322.645137539913,52.2219150502477,0.00724034419202725,0.385704028096556,0.256797591317451,0.118468262073349,0.0595496564208939,0.0550248675401209,0.057057085507397,0.126338084843422,0.0186494231653937,0.00350235528590228,0.000789833375111839,0.000798887029282082,0.00119404716862889,0.00883823806273646,5.4732292609446,0.0167573718064638,0.00724130840444267
-5.07,13.714,1.24496,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,208.180856160817,-18.9109801573794,610.635850432247,504.97042085564,6926.36767003437,-17.3194952973649,3.36023330903032,-0.718521404020414,-0.162812797625247,3.42329694823456,-0.2974563715238,8.41104426622227,-0.221236119883345,-100.682429955214,0.485043362264347,7.33083407978335,1173.60337464847,4180.06405582752,46287.3679825018,5006.9847932507,1195.15059889595,3.24279287574211e-05,-0.000198874971565462,1131.16504530778,579.801562337257,4180.06405582752,7.10380512446618,1.36171544630768,0.899363462139361,0.64162819497969,0.632833808978232,0.600048724091241,0.563315873346527,0.0139337367743985,0.00863457957754401,0.0060380329120925,0.0060119567753359,0.00600116935735861,0.00598656806582648,12.0999999999995,4999.9762524737,43.0934715133836,7.10380564524526,17.3232166618681,26.0043678650065,124.22554888477,119.391634190226,2585.20197764673,864.778228683323,29.3001740194157,0.477697504680413,0.410035448367409,0.0480032371163825,0.513906123114972,0.36363130943301,1.61032693607886,0.256900429914801,1.21160619157075,0.581740049074497,1.09105872276891,0.489222455087056,11.2430515841363,163.900436278471,580.900787371416,258.32611370269,0.0101693818345522,0.0179350057617444,266.696468837782,159.832431320197,11.2430515841363,0.00539365356109479,0.13127871138318,0.0616268514280018,0.0433653355919446,0.0436438287514274,0.0486079810049986,0.0514608586906329,0.0223723859029394,0.00531428730749508,0.00206762001244703,0.00142898710941023,0.00105000295508637,0.000715721927625715,4.90300022139093e-13,1.54907854209651,0.00621150192276487,0.00539422273930357
-6.33,11.69,1.16944,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,264.166784709926,-39.879355667118,574.828767836684,1285.04584918238,9430.0243724612,1.90612222948651,5.19353744401625,-0.556756956567025,-0.378838121029059,5.19353744401625,-0.556756956567025,15.1419465680658,-0.642717163670451,-96.4235100510365,0.927678259556296,11.5287043016352,1154.9013644412,3938.43537131549,62330.883241329,4141.55962920529,1391.60983230913,-3.43234488699093e-05,-0.000171096010519738,979.406780543693,950.699812519529,3938.43537131549,2.85784102176857e-17,1.50792063326737,1.16781512342465,0.950329184459951,0.97803027809603,1.00606525361941,0.984286459743776,0.0165107313900635,0.00994074234006873,0.00602169849349026,0.00599609784570358,0.00659818886366003,0.00617463727101343,11.9055640037497,4635.33538173107,40.6023591292574,0,17.3232166618681,15.1797481507846,125.893783630951,121.332952772836,2654.09316529475,690.903931326626,44.6039267051933,0.488594128468447,0.378207271953856,0.0727091021982056,0.488594128468447,0.378207271953856,1.73326255355055,0.334063086240596,1.00888199834851,0.608065400194596,1.06501080586812,0.688566757673467,31.9521063271221,167.399070995509,275.33142871219,230.479206950754,0.0117228343121897,0.011495504124292,240.504776054575,147.139499936732,31.9521063271221,1.32627405739687e-15,0.117793233182551,0.0429280585739079,0.0287350527131685,0.035191373363128,0.0385333448249253,0.050402264540485,0.0252501022880247,0.00608602457202302,0.00314693852303708,0.00277094619923067,0.00238162270204983,0.00194608193912171,0.00496834688821652,7.31931001149497,0.0551024289792054,0
12.51,4.21,1.19952,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,63.0192521612332,-4.05132598166857,220.007275283824,111.457035056765,2215.01187376315,-12.5763867181637,1.28641443599625,-0.103258965729612,-0.0245313592334132,1.28641443599625,-0.103258965729612,0.275074824241225,-0.0490485219682325,-35.4833475679617,0.178565038537652,2.93772513279866,695.411665451515,237.955233829809,9594.06936777419,391.129913550672,-823.350151025935,0.000115398944797417,3.25127114154776e-05,-165.046814915113,-213.047109676075,237.955233829809,-6.92170785751487e-18,0.508633079887512,0.400342245599417,0.357665149463598,0.424529205291116,0.502272742422664,0.602883980835328,0.0121011902926779,0.00862784272471618,0.00602741995625455,0.00598516227476305,0.00603567680449954,0.00617846943026768,7.16925757733566,168.634204770336,2.45303332986146,0,17.3232166618681,3.02289909879775,121.305872064534,120.669180195501,2494.62172487664,109.239225558705,11.0377091226536,0.0652155464268069,0.321926216365048,0.00268806663332752,0.0652155464268069,0.321926216365048,0.226528052634028,0.0503110189753218,0.366831309034677,0.512287681818367,0.212905520816907,0.0793157386587871,0.641065153674269,171.234111732867,76.2332842940204,50.2012599052149,0.00584112667555062,0.00230968879515233,49.5926341006573,34.332690632577,0.641065153674269,1.02111680503485e-15,0.0925214573613804,0.067018595526715,0.0541242847710736,0.0593883011336867,0.0684223630266846,0.0740765800513875,0.00547595783654687,0.0020160935470017,0.00100946194531297,0.000927454045985113,0.00097450400076806,0.000748842353881266,0.00061373270926329,0.263254303823141,0.00367303425947603,0
-8.13,23.218,1.25136,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,150.922976773253,-8.97186327882513,620.738391834184,90.446130572857,3559.3471513384,-46.8073742318508,0.649476125372357,-0.278766176611811,-0.00914021656077492,0.705966855556711,-0.033606657868972,-2.93137021820644,-1.14062251974794,-101.047906468077,0.0118336110509322,0.713641449421935,1173.70971773774,4179.88407457557,31505.8035621289,4848.01176960733,884.392459118842,-6.00994751588375e-05,-0.000202177537756484,1111.53063222581,-519.759086553484,4179.88407457557,20.5045870221852,1.56256796167066,0.964364368294967,0.481333246536819,0.307891282158109,0.107610824303718,-0.00324219102406,0.0693395588727216,0.00978912387865847,0.00619640120820748,0.00603609082387251,0.00614432684095406,0.0064733221539423,12.1000322883034,4999.95958754296,43.0935308822002,20.5045891053015,17.3232166618681,38.2839116094093,113.377535154475,117.339686633495,2339.90262979978,935.645324759456,15.4859410027302,0.371735954957238,0.421026721115154,0.00590939972937085,0.458477660864409,0.324407426533763,2.28909084627325,0.539991937532638,1.42759567396872,0.515271122908075,0.93905713153199,1.28808576218217,42.2684895132229,233.157767026557,433.261423641234,388.090726658251,0.0255913664816372,0.0291679993383587,391.731282540652,199.264498817654,42.2684895132229,0.00746371460637772,0.292786311423147,0.180044242739919,0.0858226386264293,0.0640969490468642,0.0737813566315175,0.0685780635443096,0.0868549535285036,0.0130337373507678,0.00273624576218923,0.000752899867927446,0.00103498200781327,0.00125106523022124,0.00975154897218217,5.03676400709768,0.0166054179581657,0.00746662030594769
-1.65,3.374,1.2328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,53.2241099885428,-0.946366977419032,207.149371940423,29.5879220602021,1848.75013019477,-15.4719916675346,1.08129939589626,-0.0770300607259661,-0.0178199229246954,1.08129939589626,-0.0770300607259661,-0.00664901475856682,-0.0383974206736798,-33.9277544005832,0.135186269794813,2.48378616810749,679.878960524934,92.6089386522238,6846.54608894907,121.994137069055,-1019.00675971253,2.03917078429333e-06,9.67158083532965e-06,-301.274200604104,68.6037121133215,92.6089386522238,-1.2264678262681e-18,0.310011988334548,0.250341485261952,0.244455317154463,0.318393167378398,0.394526538902197,0.509152827830434,0.0120204925528591,0.00800577783564213,0.0060025133840225,0.00600129955212999,0.00519784126653473,0.00628070409332362,7.00916498281428,64.1675377564836,0.954720508280389,0,17.3232166618681,3.78164185600223,122.207656107845,120.054018507691,2523.37251684695,47.488335807264,8.68484112733295,0.0814503432035026,0.333546556097327,0.00301224214219665,0.0814503432035026,0.333546556097327,0.156306774613232,0.0475582618287282,0.360109009085642,0.532540736559567,0.121988021954311,0.04076102360988,0.414934468328302,65.1650115856852,43.1555789796682,38.5111125890073,0.00240574473340722,0.00132597278156824,38.9557776784159,29.6842292673727,0.414934468328302,8.90671185283578e-16,0.025131160211111,0.0222167156157723,0.0181187545879587,0.0150139662473673,0.0174944366093902,0.0183600850060566,0.00111838789920831,0.000419195086734116,0.000236201944082934,0.00021232820714837,0.000273959749569888,0.000248737695325721,0.000371184368800687,0.140599680151394,0.00206054786200762,0
-2.73,6.674,1.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,119.552223726695,-9.49408556014999,285.736756587855,342.138039433392,4351.4305801479,-6.91341961045723,2.50132236225393,-0.226036330508281,-0.0896595385897301,2.50132236225393,-0.226036330508281,2.58311903968337,-0.143000072326841,-46.6893521508175,0.384704745519217,5.6552179981252,798.39003228831,1202.20258306426,24978.8459535465,1468.3587126341,-105.274277230497,-4.64175654619311e-05,-8.36228602853868e-05,239.287407561712,291.454921362358,1202.20258306426,-9.0946706603479e-18,1.06176859702114,0.829228486615978,0.686275085928549,0.736854473492344,0.808403562128946,0.836891802937192,0.0125625627195084,0.00838065429330278,0.00604816379543797,0.00602891334236017,0.00642915456723258,0.00639005759816686,8.23081626913845,978.204009998958,12.394134985939,0,17.3232166618681,4.16250669448204,122.35127276841,120.91454544369,2538.16274362739,258.781238448792,20.3300830362435,0.227620175056136,0.342049195290087,0.0168713783627774,0.227620175056136,0.342049195290087,0.583654127671406,0.362604303248833,0.501413685906541,0.547226571851153,0.489629573071352,0.166607100811135,3.11024811342828,55.9460427976659,181.450908935473,115.009558796152,0.00449285922988103,0.00799374046341611,119.090289314966,73.3608244895604,3.11024811342828,1.25527935986296e-15,0.0654299175183534,0.045579822426009,0.0399196638582757,0.0448950504769683,0.0528151174086856,0.0466091857059975,0.0102826110184242,0.00358843512886348,0.00185491965285998,0.00159919108789871,0.00152268014070525,0.00105973101260553,0.00131037124035787,0.745910769842261,0.008673721436898,0
9.21,10.59,1.29936,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,250.866857618998,-28.6885112144568,558.063441308197,972.571011957088,9031.33225705656,-0.120300505155712,5.04680783251745,-0.499066339964587,-0.357458087699198,5.04680783251745,-0.499066339964587,14.3108890740548,-0.586799795302572,-93.707626288928,0.838116175398395,11.2780922820539,1137.86459743777,3260.02718466826,58841.7748151234,4713.20904072492,1327.85355692115,5.40041623789188e-05,-0.000101936357775232,969.267086761796,-61.7187233590251,3260.02718466826,-9.4770861576919e-18,1.30334782835121,1.00467560670763,0.821437339860431,0.860187428392875,0.90671777939798,0.907078491823769,0.0152339774364129,0.009310172878346,0.00616736804948442,0.00609993362149776,0.00634613514217269,0.00590456160816581,11.7306676387873,3780.40839495886,33.607680449953,0,17.3232166618681,10.5726487441967,123.186832366383,122.038044993448,2528.27621283931,545.400663703986,41.665837820557,0.365973230528744,0.330608641130483,0.0516716057933116,0.365973230528744,0.330608641130483,1.54253439287913,0.22002444852516,0.779058299268303,0.526658680602489,0.84524489290568,0.581841246702459,25.4157716470862,211.861727005664,180.506891447178,239.758472239302,0.0130915227123661,0.0079843361327474,247.398272313469,160.230326734725,25.4157716470862,1.34388642984021e-15,0.210919426306494,0.137297269033553,0.105925795844927,0.100594989371886,0.0925058582013507,0.0814311319898098,0.0290969736760884,0.00951536757531678,0.00478341314648711,0.00356948054219184,0.00269355911054932,0.00169855610672371,0.0024962562671285,5.3522939335072,0.0420320359225854,0
-14.73,3.198,1.10416,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,46.8908874075617,-1.0137483293407,205.556178523071,26.1406295177586,1589.64909905218,-15.4652031038434,0.917060420789501,-0.0651781039350068,-0.0134611113425685,0.917060420789501,-0.0651781039350068,-0.231046301190501,-0.0316140444734923,-33.4587011769607,0.114096054671388,2.10081689407353,675.230923862093,48.9540079158421,5013.82314342256,41.3039610437454,-1146.20456202479,2.5434726695136e-05,1.47218303405895e-05,-388.625143214249,308.892844495365,48.9540079158421,5.38530238725132e-18,0.237900322883033,0.19494062076867,0.202402812207061,0.279411436308718,0.354338766795126,0.468996781585251,0.0120293521508176,0.00800268909488597,0.00599723435058847,0.00599309488594938,0.00534934558900114,0.00583851172054994,6.96099999999969,33.6853359025101,0.504649828142902,0,17.3232166618681,5.48879243549305,122.58586104271,119.810284373571,2536.45079601711,157.620861964817,6.92692629054026,0.160661284993688,0.341533213042126,0.00466642400543918,0.160661284993688,0.341533213042126,0.229664160245984,0.0506328523656412,0.362313875159355,0.546763411211033,0.29672642564669,0.0580487450904704,0.739360701848113,136.067078164262,80.6500407497136,38.4340807966804,0.00436360899025828,0.00239794765201937,38.7466833129356,29.7928213851103,0.739360701848113,9.77834748829724e-16,0.021883366945104,0.00698904647391949,0.0145121798847497,0.0367900228270367,0.0518133218380728,0.0728733856957787,0.000875868400644592,0.000231655228497958,0.000176501473881705,0.000358043413417356,0.000655675059840976,0.0012833066187048,3.06437513836933e-13,0.155129966249542,0.00230641501705109,0
