WindDirection,WindSpeed,AirDensity,WindShear,B1Er1,B1Er2,B1Er3,B1Er4,B1Er5,B1Er6,B2Er1,B2Er2,B2Er3,B2Er4,B2Er5,B2Er6,B3Er1,B3Er2,B3Er3,B3Er4,B3Er5,B3Er6,Alpha,Shape,Timemean,RootFxb1mean,RootFyb1mean,RootFzc1mean,RootMxb1mean,RootMyb1mean,RootMzc1mean,TipDxc1mean,TipDyc1mean,TipDzc1mean,TipDxb1mean,TipDyb1mean,TipALxb1mean,TipALyb1mean,TipALzb1mean,TipRDxb1mean,TipRDyb1mean,HSShftVmean,B1Pitchmean,B1N1Clmean,B1N2Clmean,B1N3Clmean,B1N4Clmean,B1N5Clmean,B1N6Clmean,B1N1Cdmean,B1N2Cdmean,B1N3Cdmean,B1N4Cdmean,B1N5Cdmean,B1N6Cdmean,GenPwrmean,GenTqmean,Timesd,RootFxb1sd,RootFyb1sd,RootFzc1sd,RootMxb1sd,RootMyb1sd,RootMzc1sd,TipDxc1sd,TipDyc1sd,TipDzc1sd,TipDxb1sd,TipDyb1sd,TipALxb1sd,TipALyb1sd,TipALzb1sd,TipRDxb1sd,TipRDyb1sd,HSShftVsd,B1Pitchsd,B1N1Clsd,B1N2Clsd,B1N3Clsd,B1N4Clsd,B1N5Clsd,B1N6Clsd,B1N1Cdsd,B1N2Cdsd,B1N3Cdsd,B1N4Cdsd,B1N5Cdsd,B1N6Cdsd,GenPwrsd,GenTqsd
5.22,18.796,1.38224,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,160.692532027914,-10.5677586569107,619.346474325591,174.640593896469,4310.62378918863,-47.4636579522967,1.26805509113634,-0.460484906561816,-0.0317522482345589,1.34559959868764,-0.0967654309238621,-0.358546489156338,-0.699250808374127,-101.092209144882,0.124332539964587,2.26063677512863,1173.72940318717,15.8449213623576,1.46916914904697,0.860840047911676,0.469081658160608,0.361795698364753,0.219962115665035,0.139448558507864,0.029253161923758,0.00910698172461201,0.00611479408394958,0.00602924591188418,0.00573905978543901,0.0058572947609624,4999.97469013644,43.093505884804,17.3232166618681,54.5703356490372,120.971338256947,118.052885140144,2514.13222559902,1661.14622848472,20.2963370287512,0.729090731719306,0.532969661701391,0.0274951621950907,0.826635540624628,0.363726013102398,3.24015157846635,0.572815197925875,1.73818439290941,0.579326725694326,1.71327815428411,0.913497712564568,0.00617931384894686,0.283746774104634,0.214716374145537,0.155202674919228,0.131751401222918,0.129140296527736,0.099206942119687,0.0454389367522152,0.011661032871317,0.0035429228693432,0.00155978373729348,0.00107867825493765,0.0010399171286006,3.35597802596284,0.0118593841074126
2.1,11.58,1.25296,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,278.080002083116,-40.9765205602542,577.253629830226,1328.83967678367,9945.00749921883,3.49704620841579,5.49359514633892,-0.584262991355067,-0.422341693573586,5.49359514633892,-0.584262991355067,16.3825446307676,-0.682920017706489,-97.0446099364653,0.974540193729818,12.2086990938444,1159.97718987605,1.63625897823144e-17,1.48639922924695,1.15289811477971,0.939255765024475,0.965978241849808,0.994074919279239,0.975018331423811,0.0163470030196855,0.00996026013915216,0.00607126669930215,0.00603912430090615,0.00674894102166441,0.00603303169393814,4895.95417144047,42.6972138318926,17.3232166618681,12.7108922303536,125.140460538335,121.36247235211,2602.44664076684,593.587857813613,46.3678838125045,0.401047219701878,0.356082785060389,0.0621759012299501,0.401047219701878,0.356082785060389,1.74186627575634,0.322925103589842,0.891388392960905,0.569951708239322,0.877026762923204,0.708431702693226,1.35165944097342e-15,0.14540644355933,0.0952922318536716,0.0786068553940311,0.0717288663596598,0.0593215746663212,0.0513601136316619,0.0254196049822879,0.0083436822379186,0.00440301023755324,0.00332457484066729,0.00258485887549538,0.00181885804827977,6.86365606104749,0.0506079395153777
11.46,13.076,1.19408,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,224.910155192167,-25.1366386105614,606.180002083116,734.531727913759,7710.27111759192,-7.75523384564109,3.95461566503489,-0.701645755650453,-0.221732559108426,3.99865170294761,-0.376910834550776,10.8152698677221,-0.288144182408082,-100.400329132383,0.621937293184043,8.7095773356942,1173.65097385689,4.67622997604416,1.39210252057077,0.988603874596396,0.745731934173524,0.751006905530673,0.741653827726279,0.711909332361212,0.022238995678471,0.00943933388949066,0.00607706415337986,0.00602283282991355,0.00601234402666388,0.0057312795542131,5000.01416519113,43.093336110821,17.3232166618681,18.854655647072,125.060526322074,120.083915086666,2580.2790295963,679.723629291171,33.7309787918753,0.392924061498632,0.360981668811119,0.0443933423147814,0.406273790238627,0.345889529264474,1.54334689743093,0.19196319539832,0.993411040721444,0.550353736190266,0.88635190239427,0.476687069177077,0.00685626396150571,0.306184321923189,0.19487149726269,0.137533766311898,0.114635924984711,0.103808397441428,0.0890392766469642,0.0484624933566046,0.0132632611962125,0.00551619274416788,0.00338890340004901,0.00215904028396395,0.00123045626021392,1.29357682150144,0.00575583372886847
6.9,10.788,1.2824,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,256.304499531299,-32.5868712071659,560.151411311322,1075.10606956567,9214.18570982189,0.329245383814187,5.1350420789501,-0.520268812623685,-0.369738662639308,5.1350420789501,-0.520268812623685,14.7099156337881,-0.603812411262369,-94.4029778148111,0.871922664305802,11.4586793042391,1142.39391730028,2.21512244662015e-17,1.34940308301219,1.04084550567649,0.849664243307988,0.885919810436412,0.929134288094988,0.923998656389958,0.0149305964218311,0.00933138544939068,0.00611721259858347,0.00606169785907718,0.00637838332871577,0.00589289969794812,4004.21674825539,35.4576085824394,17.3232166618681,10.7241649131969,124.797328708055,120.774812427999,2571.53653911338,537.92350039676,42.8524722163491,0.362085633719213,0.34102153014162,0.0520594564620872,0.362085633719213,0.34102153014162,1.53639396401876,0.241608785873899,0.805440663826494,0.544088017738575,0.818661130900739,0.595311960440376,1.33450540198477e-15,0.186144025238955,0.122375291899792,0.0957929163475435,0.0902480185101353,0.0809070191848071,0.0699804829731323,0.0268947000552026,0.00895114428762439,0.00457661677215717,0.00340200679921081,0.00256328253276079,0.00163373589321916,5.79025714455373,0.0449632871685416
14.1,8.94,1.29648,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,179.799822935111,-23.0077886654515,394.644224559942,748.537910699927,6544.57910634309,-2.25623542624727,3.71456098323091,-0.371579524099157,-0.194931361316529,3.71456098323091,-0.371579524099157,6.75061649828143,-0.309294790632226,-66.3328351213415,0.625979221276951,8.34247734610978,953.504072492446,5.84090518695965e-18,1.29006849286533,0.996953733986044,0.814869513592335,0.854779054265182,0.906020185397353,0.912829517758565,0.0154335792636184,0.0091722223618373,0.00603224245930632,0.00598239136964899,0.00654106072284137,0.00642540454119362,2191.83303822518,23.2538027288826,17.3232166618681,6.26493939265535,123.187927931711,120.072267884045,2516.30262529782,389.518067906881,31.1338356255394,0.271136087168479,0.321341186304985,0.0281919112718,0.271136087168479,0.321341186304985,0.94092293609047,0.204072973395625,0.602198284412779,0.510529499845493,0.664108556114477,0.224000271006442,1.37721116999395e-15,0.270389981446377,0.1720857219251,0.13105196190611,0.12539542438232,0.116218618240971,0.108776784505524,0.0405333464426256,0.0119950854255975,0.00584163953826979,0.00424377729847375,0.00312503093944015,0.00200418373198111,0.865264908554728,0.00520879033165098
8.46,15.804,1.212,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,180.330278096032,-13.7349366048328,616.289376106655,315.908799604208,5610.38860535361,-26.3316161244662,2.38757462764295,-0.653354682845537,-0.0859381272784085,2.46729694823456,-0.199577344041245,4.42657000677013,-0.316991779748985,-100.990564524529,0.312409688261639,5.03891386313926,1173.58993854807,10.6798333506926,1.4243318925112,0.900916946151442,0.581514560983231,0.530399791688366,0.452198510571816,0.391532371627955,0.0268463947776273,0.00924846692427872,0.00612009043399645,0.00603455327570045,0.00576165909801062,0.00569822883033017,4999.99218831372,43.0933621497758,17.3232166618681,37.6638776550743,123.784376158749,119.345459746574,2570.1280916847,1170.63219472399,23.2627851993802,0.568125157203801,0.439447311239814,0.039854179927592,0.621108378089842,0.360702857251356,1.73177553789717,0.344864210717091,1.36168327739806,0.57467844720528,1.30613893075501,0.505448239987638,0.00577831219147128,0.310596430231169,0.214584680752937,0.150046529375188,0.123135565908568,0.11317306000689,0.0976184185462381,0.0484974080899898,0.0127146254038362,0.00446612111707862,0.00238484509793525,0.00138914519239155,0.00080331441282999,1.82968616740708,0.00666981544307274
12.06,7.972,1.41424,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,161.988907405479,-19.9558231746693,338.96273304864,646.825451150922,5934.68794917196,-4.30096701489428,3.40426361837308,-0.334202761057181,-0.164303895427559,3.40426361837308,-0.334202761057181,5.12374742214353,-0.239335669955317,-56.7420685345276,0.565110396951359,7.67499895844182,881.351807103433,1.73856374960942e-17,1.22084558900114,0.940031475887928,0.77079713571503,0.815105926465993,0.872676710759296,0.887415592125821,0.0133989664862723,0.00863706743769398,0.00601182152806999,0.00598756504530779,0.0063705687949172,0.00630527903343402,1730.99687532549,19.8664066243105,17.3232166618681,5.17453569413361,122.955429096244,120.299042349457,2520.13653764703,340.459105029474,28.3250300949393,0.244070952325236,0.325272383536299,0.0234308120998269,0.244070952325236,0.325272383536299,0.809383976944986,0.172620528098648,0.530839814086319,0.517468977464535,0.590015064778504,0.205424141198248,1.38291007484295e-15,0.226546700901017,0.147349404608,0.112593204812369,0.109808486320495,0.103536172680798,0.0952061384334117,0.0307261050348071,0.00973340915984504,0.00473917515943696,0.00356246684372917,0.00268075330140637,0.00169279343121896,0.75910489090255,0.00515214901252725
9.3,18.62,1.2248,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,160.302066451411,-11.0231284793251,618.682678887616,209.009004853661,4487.52577856473,-37.9543993334028,1.48048058535569,-0.514732061260285,-0.0408012552546609,1.56288808457452,-0.1189847419248,0.596764002062285,-0.605611549655245,-101.097023226747,0.165727884747214,2.82188496521196,1173.73294448495,14.8180668680346,1.46995599416728,0.920241870638474,0.530187459639621,0.426287876262889,0.292404631809187,0.201498373284033,0.0597971272200812,0.0097233221171753,0.00616475692790335,0.00604910394750547,0.00588521653994376,0.00568786168107489,4999.98593896469,43.0935517133631,17.3232166618681,53.9139174672629,122.327302532989,118.350649373966,2546.80228551192,1666.66998201347,21.9125394369981,0.758199405148001,0.533568097958371,0.0326842368104475,0.850362670467533,0.369380454416353,3.73714514174328,0.559756967909705,1.72566945113037,0.588827333667666,1.78393395626248,0.84934224914848,0.00565980961401109,0.366297619099656,0.277749424888394,0.194291364544266,0.157334371962761,0.147302188163031,0.126452027102633,0.0803581184272217,0.0169822666728825,0.00528893756352533,0.00238802510604693,0.00117805404201932,0.00145238237369074,3.12461833936414,0.00937464762846228
-2.94,3.836,1.4104,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,65.0857535673368,-4.69563722216436,214.896073325695,119.714585803562,2323.50317675242,-16.5120121862306,1.37657337777315,-0.109768665536923,-0.0282357775231747,1.37657337777315,-0.109768665536923,0.407827819487553,-0.0504024802351838,-35.0617123216332,0.19101475692532,3.16380147901261,691.213092386209,-8.85074132902823e-18,0.42572770544735,0.338325164045412,0.311050900947817,0.381028913654828,0.458140891573795,0.565941964378711,0.0120302378918862,0.00859959962503906,0.0059983234038121,0.0059964890115613,0.00621127799187585,0.00616467003437142,139.916477450268,2.04764545359857,17.3232166618681,3.28465527067625,123.054510297701,119.311054233498,2542.75838116883,69.5282647509787,11.0390184373977,0.110126597867408,0.337769129617257,0.00487995601095258,0.110126597867408,0.337769129617257,0.210544022880988,0.0508618857322472,0.37176334450275,0.539610118612787,0.196098942293541,0.0708462883153495,1.0631269599771e-15,0.0273212941035906,0.0234354031070129,0.0195532542973105,0.0188529469225233,0.0231572928261994,0.0252111604390294,0.0018299161425076,0.000734215363426512,0.000368821528208309,0.000328896027309975,0.000517135763629791,0.000353928096020942,0.201725181085962,0.00290174380131983
-9.18,11.492,1.19152,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,260.398437662743,-38.2137968583481,569.199677116967,1229.88595756692,9317.12269555255,-0.209110886574317,5.14974815123425,-0.544991007624206,-0.373409124049578,5.14974815123425,-0.544991007624206,14.8759181335278,-0.623628329830226,-95.6996958650143,0.909394375585876,11.4480308301219,1150.24924487033,-6.66816792313301e-18,1.45612717425268,1.12750890532236,0.917359962503905,0.94968356421206,0.983580824914072,0.965024841162376,0.0148093646235809,0.00938879594740131,0.00599811447213832,0.00599368372721593,0.00650804113113217,0.00613312620956151,4401.97885636913,38.7120008332466,17.3232166618681,16.0038167210882,126.698579790219,120.637133599156,2682.35207311138,725.920907757335,44.574868805138,0.522603755351278,0.387092124866354,0.0775616432135953,0.522603755351278,0.387092124866354,1.73898286236203,0.33632709017445,1.04522494149614,0.623229024239842,1.14343469847403,0.733183485540813,1.29366231881339e-15,0.140209151701513,0.043315864453977,0.0174757558539041,0.0315871252227349,0.041286384811696,0.0608662943170852,0.027797782890008,0.0060314737552098,0.00292453581189142,0.00270018318713937,0.0023779623793742,0.00197987279800899,7.03694645427302,0.0534043771549261
