WindDirection,WindSpeed,AirDensity,WindShear,B1Er1,B1Er2,B1Er3,B1Er4,B1Er5,B1Er6,B2Er1,B2Er2,B2Er3,B2Er4,B2Er5,B2Er6,B3Er1,B3Er2,B3Er3,B3Er4,B3Er5,B3Er6,Alpha,Style,Timemean,RootFxb1mean,RootFyb1mean,RootFzc1mean,RootMxb1mean,RootMyb1mean,RootMzc1mean,TipDxc1mean,TipDyc1mean,TipDzc1mean,TipDxb1mean,TipDyb1mean,TipALxb1mean,TipALyb1mean,TipALzb1mean,TipRDxb1mean,TipRDyb1mean,HSShftVmean,LSShftMxamean,TwrBsMytmean,TwrBsMxtmean,YawBrMypmean,NcIMUTAxsmean,NcIMUTAysmean,LSSTipMysmean,LSSTipMzsmean,LSShftTqmean,B1Pitchmean,B1N1Clmean,B1N2Clmean,B1N3Clmean,B1N4Clmean,B1N5Clmean,B1N6Clmean,B1N1Cdmean,B1N2Cdmean,B1N3Cdmean,B1N4Cdmean,B1N5Cdmean,B1N6Cdmean,RtSpeedmean,GenPwrmean,GenTqmean,BlPitchC1mean,Timesd,RootFxb1sd,RootFyb1sd,RootFzc1sd,RootMxb1sd,RootMyb1sd,RootMzc1sd,TipDxc1sd,TipDyc1sd,TipDzc1sd,TipDxb1sd,TipDyb1sd,TipALxb1sd,TipALyb1sd,TipALzb1sd,TipRDxb1sd,TipRDyb1sd,HSShftVsd,LSShftMxasd,TwrBsMytsd,TwrBsMxtsd,YawBrMypsd,NcIMUTAxssd,NcIMUTAyssd,LSSTipMyssd,LSSTipMzssd,LSShftTqsd,B1Pitchsd,B1N1Clsd,B1N2Clsd,B1N3Clsd,B1N4Clsd,B1N5Clsd,B1N6Clsd,B1N1Cdsd,B1N2Cdsd,B1N3Cdsd,B1N4Cdsd,B1N5Cdsd,B1N6Cdsd,RtSpeedsd,GenPwrsd,GenTqsd,BlPitchC1sd
9.93,16.09,1.2968,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,177.445901468597,-12.7065152785127,617.043860014582,276.589659722945,5412.38808457452,-32.977832397042,2.20791917508593,-0.632333266801375,-0.0754619445891053,2.28956952400792,-0.180652941577961,3.65510278058536,-0.354522983961045,-101.022802833039,0.278092806203,4.59351473804812,1173.59879179252,4180.13352775753,38752.6413915217,7158.49557337777,1799.03364232892,2.84291746693052e-05,-5.79443161129049e-05,1946.26893031976,656.169690657223,4180.13352775753,11.4702114363088,1.39680587438808,0.864670523903759,0.540561837308614,0.484248244974482,0.39798861576919,0.33527320070826,0.0297765330371836,0.0093106421082179,0.00614238042209145,0.00603912821581085,0.00571306874283928,0.00564143630871785,12.0995188001246,4999.98708467868,43.0933329861471,11.4702093531924,17.3232166618681,42.4383318293816,123.734892387448,119.388453831978,2571.1132493419,1325.96539091951,23.5438576693367,0.634386056987373,0.461621332894486,0.0409015493581265,0.694925277895845,0.364171476699496,1.84796135019105,0.393177765164017,1.44550880156158,0.580404196992004,1.4619929380303,0.517661607696213,14.1138850715899,164.544767942943,317.915232095147,306.363405556064,0.00975593903665702,0.0137140771037083,309.844619598194,184.099519293682,14.1138850715899,0.00554593304718733,0.346175742926173,0.23783713358582,0.163630670049833,0.132163067518615,0.120107141746487,0.102813837739292,0.0540827969252994,0.0136418325109233,0.00456014296652997,0.00231741336109102,0.00129748660207556,0.000731233460589507,0.00411775698167693,1.86727292517712,0.00676806566475346,0.0055460120815481
12.15,15.166,1.19696,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,188.801385272367,-15.7844421344652,614.476908655348,392.064549081346,6052.81251952922,-21.6201896413915,2.73811332152901,-0.68214571815436,-0.110390819706281,2.81190625976461,-0.236153157076659,5.88747655452558,-0.263463058059577,-100.900080199979,0.377395175524424,5.87745870221852,1173.60858243933,4180.08155400479,41366.1837308614,6798.17279450057,1502.72711175919,1.61172599729195e-05,-9.31071387355484e-05,1572.54463076763,451.422830955109,4180.08155400479,9.18866066034785,1.40466539943756,0.920717852307051,0.620172856994063,0.583414352671596,0.522243245495261,0.469960681179043,0.0373052703512134,0.00957452485017186,0.00614495045000521,0.00603729038641809,0.00582880054161024,0.0057517411727945,12.0999999999995,4999.98093948547,43.0936891990413,9.18866191021765,17.3232166618681,33.5258776164893,124.587679778471,119.623906774284,2584.18977022046,1057.82031085423,25.5527824685019,0.525650107476663,0.415989866819202,0.0419593712904332,0.566637304597794,0.358151864239248,1.66971894727927,0.293180371729763,1.25363742591334,0.570062021269205,1.19442412910798,0.488092888081526,11.0431027834038,165.676005321997,400.512192429623,282.921162648274,0.00888744032158252,0.0140226592576626,287.378070363059,180.976134970037,11.0431027834038,0.00425744973807431,0.372486217718423,0.246466587944347,0.168094313620401,0.134895260836186,0.121155003251891,0.101402163801671,0.0635693380152927,0.0155380691144808,0.00549304104406006,0.00295775114238002,0.00170104412552498,0.000930957223541447,4.90300022139093e-13,1.53648380800939,0.00590840300212166,0.00425833203563192
-11.25,22.866,1.41904,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,154.407988751172,-9.61423169357358,620.843547547131,99.8989346422249,3565.49276117071,-56.7474672429955,0.584722069655243,-0.2468906427569,-0.00720224599520883,0.634040131617957,-0.0291426457796063,-3.29332954370378,-1.15352206332674,-101.036254556817,0.00138099583376732,0.502250014609936,1173.69440683262,4179.95042183106,32551.8425164045,3716.72669513592,582.14056322883,0.00010682925987918,-0.000206574703155921,765.799994792208,-799.682147692949,4179.95042183106,20.260043745443,1.50505489011561,0.921790469742735,0.448468982397667,0.28151882095615,0.0837969598839704,-0.0118703135979586,0.0822473829621707,0.00997179966024372,0.00618477262785126,0.00603712311217582,0.00635695115092178,0.00649040516612853,12.0998437662745,4999.95771273826,43.0936527445063,20.2600447870012,17.3232166618681,32.2384056310411,112.506566396925,117.375645934844,2319.48627007716,731.082015444894,18.9802264327794,0.307451356320001,0.387852319947715,0.00382959690191366,0.378965230902653,0.31833787044357,4.42729552342168,0.583427042670873,1.34264212910989,0.506352904503997,0.793228796137718,1.30852133655511,44.3901504662441,366.193554507722,375.661326702661,470.075323704739,0.0283137364685064,0.0331282991517673,472.74905742486,284.295237385384,44.3901504662441,0.00765248888511813,0.363639937540228,0.226316482496944,0.100838074562926,0.0548974798194451,0.0591903210569886,0.0607468546355618,0.108733264432455,0.0156945772411828,0.00292218780294702,0.000672203983679915,0.00127568396589543,0.00158570199996667,0.00977648991954831,5.24754735737455,0.0171761652024145,0.00765044076609725
12.45,9.358,1.16048,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,176.543318404333,-22.388628915738,411.300604103739,742.763273836058,6378.40027080512,-0.30862957848141,3.58364076658682,-0.362575958512655,-0.180997760649932,3.58364076658682,-0.362575958512655,6.59633611082178,-0.312858400968649,-68.4659243828768,0.608962011292574,8.02028757421102,968.494833871466,2327.03832934069,39566.3576710759,3497.23580876992,487.543318404332,7.22258306426308e-07,-7.45999832934071e-05,520.89591709197,-145.769762002916,2327.03832934069,-1.80514482866368e-17,1.36408015831684,1.05764833871472,0.865038527236747,0.900921216539943,0.945651588376212,0.944612352879909,0.0179422232837205,0.00957381170987398,0.00610174055462972,0.00604309658160608,0.00692047692948651,0.00669071575877513,9.98449255285927,2296.85126549318,23.990128111655,0,17.3232166618681,5.72080499394203,123.037549895869,120.309801604587,2520.47252152467,354.822696444896,29.8974407405664,0.248935016203183,0.325317989497635,0.0250333216721857,0.248935016203183,0.325317989497635,0.942821030006179,0.193488954193774,0.642180093923389,0.517530176826411,0.596546789779834,0.236591191022127,5.09677077915747,149.542541242982,338.310434384504,180.749989100356,0.00930261059254057,0.0096784486943462,186.658705875621,132.49319695956,5.09677077915747,1.43324678950348e-15,0.272401027559812,0.17061056477277,0.132233942085441,0.124040605695352,0.110697335295332,0.102835333996753,0.0425038254028286,0.0127850345838191,0.00623036878266857,0.00443474990688508,0.00326175504022151,0.00212471918716396,0.0018894917066013,0.941165452392348,0.00642377114273208,0
4.29,10.502,1.30064,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,251.698281429019,-28.6804427715863,557.982251848765,971.463215840537,9062.90980106239,-0.769738829632329,5.06415862930945,-0.500028887615873,-0.359943495469222,5.06415862930945,-0.500028887615873,14.3763726695136,-0.587481107176336,-93.7043828767836,0.839747261743568,11.3162937194042,1137.92979897927,3262.09092802833,59034.793250703,4272.98312675763,1287.55285907718,3.98065912925737e-05,-0.000103807568378294,928.797031559212,263.441905009895,3262.09092802833,4.64286197573169e-17,1.29421341526924,1.00159989584418,0.818743453806896,0.858376950317676,0.906358275179668,0.905184991146755,0.0131089670459327,0.00900949851307156,0.00612993033902719,0.00608616505676492,0.00636058771700864,0.00587951119675034,11.7309196958647,3782.97208624102,33.6289730236434,0,17.3232166618681,10.8360023073336,123.856711747506,121.798068058927,2562.68066405238,536.766780894307,41.9709317140435,0.366853093242542,0.344592832040632,0.0523164667316173,0.366853093242542,0.344592832040632,1.51993228078961,0.231081212957461,0.843904539461327,0.550693714220122,0.81640219112779,0.627717800185558,26.0942395060499,201.615097039984,182.755489904583,233.360838131284,0.012839737542578,0.00824473729849846,241.336775625499,150.671336885626,26.0942395060499,1.32499970572712e-15,0.147354736277274,0.0993665864152659,0.0781571284010826,0.0749283416485275,0.0683361653923066,0.0560991806491194,0.0210921910117358,0.00716589162558407,0.00367581925374707,0.0028481504619214,0.00225950102644925,0.00147463599382209,0.0028899806356027,5.55520138316885,0.0436416205362919,0
-12.27,6.014,1.28592,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,100.372806999271,-9.50342780647848,252.828648057494,299.3585886366,3645.0590563483,-10.2343997802312,2.10998010623893,-0.190255301874804,-0.0647398281429018,2.10998010623893,-0.190255301874804,1.68740456202479,-0.103689152408083,-42.2960129153212,0.324651020664514,4.78521508176232,759.333819393808,836.499999999999,19728.8105405687,867.497718987605,-365.622622643474,5.94623305697323e-05,1.03895433392355e-05,90.2844221216541,484.779304239142,836.499999999999,-3.71032893438186e-18,0.91710627018019,0.715058681387355,0.598973419435475,0.654784886990938,0.731923341318612,0.780130757212791,0.0121207399649828,0.00825293730861369,0.00598352124778669,0.0059877478387668,0.00627303239245911,0.00627413123632955,7.82819654202689,647.318737631497,8.62351880012502,0,17.3232166618681,5.15876949002225,123.931476631455,119.326959958959,2580.20674250881,267.668335957925,16.8668577864536,0.250756462445864,0.35311118701568,0.0159068475356541,0.250756462445864,0.35311118701568,0.428862590617635,0.0673627104968574,0.461108602355791,0.566069642308911,0.527136842888875,0.137397250559598,1.58789168396337,72.4609207703354,173.201766187361,92.7991023137941,0.00379294516785436,0.00549457956141714,95.6929600011,61.9947740218147,1.58789168396337,1.18069852448275e-15,0.0838084286747504,0.0256568223117377,0.015649948471161,0.0336892665849451,0.0485082940708881,0.0634700154004786,0.010677855919418,0.00252722842605121,0.00117754882930185,0.00121540560858804,0.00123887364892999,0.00103895704347769,0.000992478232091847,0.591597334561079,0.00694738302481458,0
-6.39,24.098,1.20848,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,148.69821164462,-8.7436575721279,620.804530778044,81.2129952713259,3420.16821164462,-45.5577106551401,0.550409479176126,-0.24310030412457,-0.00839865503593376,0.601212265589,-0.0243400181497761,-3.31884754171441,-1.23980590376002,-101.028966774294,-0.00444328098010626,0.467853631236329,1173.64159983335,4179.87980418706,31060.1749817727,5394.41641495678,1052.18530361421,-9.70012091448811e-05,-0.00022306791834184,1298.62071659202,-456.889667742943,4179.87980418706,21.5113113217371,1.58643599625039,0.98191516508697,0.484532017498177,0.29828988647016,0.0969483626341005,-0.0284187688556401,0.0663347214091241,0.00976964834277678,0.0061789458389751,0.00603634392250807,0.00592491677950213,0.00643473679825019,12.0996271221749,4999.94958858452,43.093560045829,21.5113165295279,17.3232166618681,42.2137901305589,112.809704584217,117.230470163172,2329.41126229077,1058.09866325455,14.3578343215189,0.417213733391196,0.443523339716605,0.0052409512360341,0.514892245748548,0.325060032028004,3.55173914506489,0.639409162579907,1.52435286646501,0.516323383038201,1.06163335672867,1.37241214907668,38.2099753746102,276.705978513035,434.690817705168,411.101448828371,0.0265399304936499,0.0312898001433752,414.526299900645,232.410588054543,38.2099753746102,0.0075040992917144,0.259017390608176,0.168381747220652,0.0899755893156009,0.0769562602960118,0.0742411938103482,0.0833035925076142,0.0798526933613282,0.0122627171679574,0.00270132378234566,0.000773447480734786,0.00115665219583768,0.00151719964407736,0.0100791921457529,5.16969938756624,0.0176272682747842,0.00750526944583381
1.41,17.366,1.14256,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,167.029986459744,-11.6007787574211,618.59610457244,240.377170773878,4932.39995833767,-28.5539682662847,1.86510313509009,-0.586896911621706,-0.0547954231850849,1.94935794188105,-0.151868533246537,2.24698778856369,-0.461597146707635,-101.069522966357,0.226647467195292,3.78282085199458,1173.65086970107,4180.16550359338,35491.6831580044,6321.25226538902,1429.75294240183,4.92216155827517e-05,-2.40463190292677e-05,1620.61337360692,453.378762628892,4180.16550359338,13.0132027913756,1.51160379127174,0.928963410061453,0.566128090823872,0.48470718675138,0.376546047286741,0.295251098843871,0.0222828753467347,0.0089597304450578,0.00610061410269763,0.00602200895740027,0.00570408051244663,0.0053904098531403,12.0995885845222,4999.99250078117,43.0932298718884,13.0132027913756,17.3232166618681,39.819116923829,121.625118648361,118.716851414717,2524.26342786497,1196.04492347696,19.3587720618133,0.565676055595909,0.458599884026503,0.0313834904434269,0.63458967702046,0.357215627994691,1.75430540733961,0.406965097919805,1.46155442420568,0.569518914961981,1.33614439112856,0.614555669264067,16.6195542922779,136.766680947369,347.327069533235,299.126188530056,0.0112108750162017,0.0158117001393499,304.835964229608,180.035153835676,16.6195542922779,0.00501886197665781,0.197063309629904,0.144975318070279,0.109670923084464,0.0979690464424617,0.0980660131793112,0.0949899546503182,0.0326811570237005,0.00898619689961563,0.00316612250492174,0.00169670917892149,0.00105175896066046,0.000492381688224429,0.0057885924892525,2.22508099235181,0.00828993913793561,0.00501886197665781
13.35,13.67,1.10672,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,215.683303822518,-24.3704832642433,608.140589521925,709.293127476305,7334.60493698573,-6.4948364610978,3.70947661701906,-0.68954537027393,-0.195366451411311,3.75616946151442,-0.356176264305802,9.84110738464742,-0.282466372971565,-100.528337673159,0.585557397666909,8.14333267367982,1173.64316217061,4180.06957608582,48336.7857514842,6300.70419747943,1195.36998229351,-7.92673345693157e-05,-0.000104174220237475,1081.07923133007,120.62349761379,4180.06957608582,5.11361535256743,1.44118155400479,1.03067689823977,0.774418550151025,0.768930725966045,0.750544412040412,0.713639975002604,0.0417210935308822,0.00979213493573585,0.00610436583230914,0.00602842521612332,0.0060415097385689,0.00574637371107176,12.0999999999995,5000.01635246329,43.0938193938124,5.11361566503488,17.3232166618681,19.2200322840594,124.978679349544,119.864941832231,2578.15701822482,675.26259479538,31.8537964160931,0.38437792424369,0.360800739278955,0.0407629468747859,0.398690972810568,0.344920915001501,1.51117742210222,0.190588555624267,1.01606868356178,0.548407808590953,0.868812827790521,0.479091327030086,9.07919739463215,174.754294263761,479.398667812175,257.595238619156,0.00928586524465037,0.0144891688311454,263.935891683222,176.917759353854,9.07919739463215,0.00577298392867915,0.36271591295209,0.224156205523261,0.15993132751741,0.131154665525669,0.117416749072617,0.10067675749521,0.0674451640504934,0.0167538702897106,0.00669777423436675,0.00395715884605601,0.00243303771119518,0.00133892647549588,4.90300022139093e-13,1.28104907624835,0.005540032611892,0.00577187689702871
14.19,17.19,1.22384,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,150.000015727529,169.516174356838,-12.1954075867097,617.944630767628,265.096781504114,5067.37735652536,-33.1325341803979,1.97105042183106,-0.600085875887928,-0.0631191008228309,2.05390006249349,-0.163139317068014,2.68568050442454,-0.424135741571712,-101.053843349651,0.246454085334861,4.03375502551818,1173.61379023018,4180.14321424852,36844.134985939,7914.34944276638,2011.38516821164,1.76817964795334e-05,-3.67042396729507e-05,2214.8209561504,762.795146338923,4180.14321424852,12.3920976981563,1.41300222893449,0.90970949901052,0.561399906259765,0.486016487865847,0.383847484637017,0.308852213311113,0.0736907314279763,0.0101185904330799,0.0062300128205916,0.00606906280595771,0.00574818945943131,0.00574504916154567,12.0990459327149,4999.99645870222,43.0933319445889,12.392101864389,17.3232166618681,47.6066906766879,123.81782516286,119.267535767683,2577.85525664406,1493.24259177795,24.3613224775604,0.702622463747483,0.488307192572543,0.0402209371132986,0.772226449601786,0.368494483090038,1.97709623519126,0.443251672289763,1.54889929938159,0.587093770501323,1.62401323263479,0.544856075560665,16.1423229960622,207.056363365706,348.795281203077,332.447482952814,0.00811145340254605,0.0162615394749554,333.521291990173,208.010550912743,16.1423229960622,0.00483641093607966,0.453421996917641,0.317724540563719,0.216290894035555,0.168995302757691,0.149946348697402,0.125235217647079,0.101584609513388,0.0209194426088759,0.00657091534898105,0.00308781879250157,0.00154427028689838,0.000772713578134156,0.00324776756134963,1.94956938610475,0.00685041887857473,0.00483244650586247
